,Objective Question,Original Answer,Sub Ques 1 ,Label 1,Sub Ques 2,Label 2,Sub Ques 3,Label 3,,,,,,,,,,,,,,,,,,,
436,the first president to manipulate media politics with many press conferences and firesidechats successfully was,Franklin Roosevelt,Who was the first president to manipulate media politics with many press conferences and firesidechats successfully?,1,Who was Franklin Roosevelt?,0,Was the first president to manipulate media politics with many press conferences and firesidechats successfully Franklin Roosevelt?,0,,,,,,,,,,,,,,,,,,,
437,if you buy a carton of chocolate chip cookie dough ice cream in your favorite grocery store,both GDP and consumption spending will be higher,,,,,,,,,,,,,,,,,,,,,,,,,
438,in   going public   interest groups,use advertising and public relations to enhance their image,What use advertising and public relations to enhance their image?,1,What do groups use to enhance their image?,1,What do groups use advertising and public relations to enhance?,1,,,,,,,,,,,,,,,,,,,
439,The Assyrians earned a reputation in the ancient world for?,their extreme cruelty,Who earned a reputation in the ancient world for?,0,What did the Assyrians earn for?,0,Did the Assyrians earn a reputation in the ancient world for?,0,,,,,,,,,,,,,,,,,,,
440,kinesics refers to the study of,body language,Who refers to the study of body language?,0,What does kinesics refer to?,1,Does kinesics refer to the study of body language?,0,,,,,,,,,,,,,,,,,,,
441,"Buddha taught that by rejecting desire people could attain  nirvana , or?",a state of perfect peace,Who taught that by rejecting desire people could attain nirvana?,1,What did Buddha teach that by rejecting desire people could attain?,0,What did Buddha teach?,1,,,,,,,,,,,,,,,,,,,
442,aDHD in children is most often treated with the drug,Ritalin,What is aDHD in children most often treated with?,1,What is most often treated with the drug Ritalin?,1,Is aDHD in children most often treated with the drug Ritalin?,0,,,,,,,,,,,,,,,,,,,
443,"the early civilizations of the Nile River Valley, Mesopotamia, and the Yellow River Valley were similar because they were",dependent on fertile land,What were similar because they were dependent on fertile land?,0,"What were the early civilizations of the Nile River Valley, Mesopotamia, and the Yellow River Valley dependent on?",1,What were dependent on fertile land?,0,,,,,,,,,,,,,,,,,,,
444,the Civil Rights Act of 1964,both A and B,,,,,,,,,,,,,,,,,,,,,,,,,
445,"if we want to know the amount of expenditures for an average individual in a country, we should look at",GDP per person,"If we want to know the amount of expenditures for an average individual in a country, who should look at GDP per person?",0,"If we want to know the amount of expenditures for an average individual in a country, what should we look at?",1,"If we want to know the amount of expenditures for an average individual in a country, should we look at GDP per person?",0,,,,,,,,,,,,,,,,,,,
446,a major result of the Industrial Revolution was the,concentration of workers in urban areas,Who was a major result of the Industrial Revolution the concentration of?,0,What was a major result of the Industrial Revolution?,1,What was the concentration of workers in urban areas?,0,,,,,,,,,,,,,,,,,,,
447,How does database marketing benefit consumers?,Companies match customer needs and interests with products and services,What match customer needs and interests with products and services?,0,What do companies match customer needs and interests with?,1,What do companies match with products and services?,0,,,,,,,,,,,,,,,,,,,
448,a fall in prices makes consumers feel more wealthy. As a result,there is a movement down a given aggregate demand curve,Who does a fall in prices make feel more wealthy?,0,What makes consumers feel more wealthy?,1,Does a fall in prices make consumers feel more wealthy?,0,,,,,,,,,,,,,,,,,,,
449,Which statement about reforms in China during the 1980 s and 1990 s is most accurate?,Economic reforms were more successful than political reforms,What were more successful than political reforms?,0,What were economic reforms more successful than?,0,Were economic reforms more successful than political reforms?,0,,,,,,,,,,,,,,,,,,,
450,"Which type of sales approach is best for today's customers who expect answers, results, and useful products?",customer-solution,,,,,,,,,,,,,,,,,,,,,,,,,
451,"the contributions of the ancient civilizations of Ghana, Axum, Kush, and Mali demonstrate that",advanced societies developed in Africa before Europeans colonized this region,What did Europeans colonize?,0,"What do the contributions of the ancient civilizations of Ghana, Axum, Kush, and Mali demonstrate in?",1,What demonstrate that advanced societies developed in Africa before Europeans colonized this region?,1,,,,,,,,,,,,,,,,,,,
452,"jim is in a constant state of anxiety and also has brief, sudden periods of panic. He also believes these periods of panic will occur when he's in a public location; therefore, Jim is afraid to leave his house. Jim's diagnosis is",panic disorder with agoraphobia,Who is in a constant state of anxiety?,0,"Who also has brief, sudden periods of panic?",0,Whose diagnosis is panic disorder with agoraphobia?,0,,,,,,,,,,,,,,,,,,,
453,the biggest obstacle to the effectiveness of large groups is the,problem of raising funds and attracting government support,What is the problem of attracting government support?,0,What is the biggest obstacle to the effectiveness of large groups?,1,What is the problem of raising funds?,0,,,,,,,,,,,,,,,,,,,
454,"in Europe, the Crusades resulted in",an increased demand for goods from the Middle East and Asia,What did the Crusades result in in Europe?,1,Who resulted in an increased demand for goods from the Middle East and Asia in Europe?,0,What did the Crusades result in an increased demand for goods from the Middle East and Asia in?,0,,,,,,,,,,,,,,,,,,,
455,"in terms of religion, most members of Congress are",Protestant,What are most members of Congress Protestant in?,0,Who are Protestant in terms of religion?,1,Are most members of Congress Protestant in terms of religion?,0,,,,,,,,,,,,,,,,,,,
456,the real work of a Cabinet department is done,in the bureaus,What is the real work of a Cabinet department done in?,1,What is done in the bureaus?,1,Is the real work of a Cabinet department done in the bureaus?,0,,,,,,,,,,,,,,,,,,,
457,"if the number of buyers in the market decreases, the",demand in the market will decrease,"If the number of buyers in the market decreases, what will decrease?",1,"If the number of buyers in the market decreases, will the demand in the market decrease?",0,,,,,,,,,,,,,,,,,,,,,
458,"for a country, the domestic price of a product will equal the world price",when the country allows free trade,What will equal the world price when the country allows free trade for a country?,1,What will the domestic price of a product equal the world price when the country allows free trade for?,0,Will the domestic price of a product equal the world price when the country allows free trade for a country?,0,,,,,,,,,,,,,,,,,,,
459,Which condition is most necessary to the process of industrialization in a society?,availability of investment capital,,,,,,,,,,,,,,,,,,,,,,,,,
460,the final step (within the ear) required to convert vibrations into sound sensations is movement of the,hair cells,What is the final step required to convert vibrations into sound sensations?,1,What is the final step required to convert vibrations into sound sensations movement of?,1,What is movement of the hair cells?,1,,,,,,,,,,,,,,,,,,,
461,an immediate result of the fall of the Roman Empire was,a period of disorder and weak central government,When was an immediate result of the fall of the Roman Empire?,0,What was a period of disorder and weak central government?,0,What was an immediate result of the fall of the Roman Empire a period of?,1,,,,,,,,,,,,,,,,,,,
462,Which conclusion is best supported by this cartoon?,Imprisonment of political dissidents rarely ends opposition to the government,What does imprisonment of political dissidents rarely end?,0,What rarely ends opposition to the government?,0,Does imprisonment of political dissidents rarely end opposition to the government?,0,,,,,,,,,,,,,,,,,,,
463,What is meant by the non-excludability characteristic of public goods?,The nature of a good allows individuals who do not pay for the good to consume it,What is meant by the non-excludability characteristic of public goods?,1,What allows individuals who do not pay for the good to consume it?,0,What is what meant by?,0,,,,,,,,,,,,,,,,,,,
464,an election whereby voters are given the chance to approve or disapprove some legislative actor constitutional amendment is called,a referendum,What is an election whereby voters are given the chance to approve or disapprove some legislative actor constitutional amendment called?,1,What is called a referendum?,1,Is an election whereby voters are given the chance to approve or disapprove some legislative actor constitutional amendment called a referendum?,0,,,,,,,,,,,,,,,,,,,
465,One important difference between Hinduism and Buddhism is that?,Buddhists believe a person can gain enlightenment in a single lifetime,What is one important difference between Hinduism and Buddhism?,1,Who believe a person can gain enlightenment in a single lifetime?,0,Who do buddhists believe can gain enlightenment in a single lifetime?,0,,,,,,,,,,,,,,,,,,,
466,In recent years the budget deficit of Thailand has increased. According to the open- economy macroeconomic model this should have caused which curve to shift right?,None of the above shift right,When has the budget deficit of Thailand increased?,0,What has increased in recent years?,0,What should have caused which curve to shift right?,0,,,,,,,,,,,,,,,,,,,
467,the term cognition refers to,thinking or knowing,What refers to thinking or knowing?,1,What does the term cognition refer to?,1,Does the term cognition refer to thinking or knowing?,0,,,,,,,,,,,,,,,,,,,
468,the Ancient Greek city-state of Sparta,was a powerful military state,What was the Ancient Greek city-state of Sparta?,1,What was a powerful military state?,0,Was the Ancient Greek city-state of Sparta a powerful military state?,0,,,,,,,,,,,,,,,,,,,
469,the primary determinant of a country’s standard of living is,its ability to produce goods and services,What is its ability to produce goods and services?,0,What is the primary determinant of a country's standard of living?,1,Is the primary determinant of a country's standard of living its ability to produce goods and services?,0,,,,,,,,,,,,,,,,,,,
470,sampling error describes,how close a sample estimate is to the real population value,What describes how close a sample estimate is to the real population value?,1,What does sampling error describe to?,0,Does sampling error describe how close a sample estimate is to the real population value?,0,,,,,,,,,,,,,,,,,,,
471,korea greatly influenced the development of early Japan by,acting as a bridge for ideas from China,What greatly influenced the development of early Japan by acting as a bridge for ideas from China?,1,What do korea greatly influence by acting as a bridge for ideas from China?,0,What do korea greatly influence the development of by acting as a bridge for ideas from China?,0,,,,,,,,,,,,,,,,,,,
472,a positive production externality will cause a market to produce,less than is socially desirable,What will cause a market to produce less than is socially desirable?,1,What will a positive production externality cause to produce less than is socially desirable?,0,Will a positive production externality cause a market to produce less than is socially desirable?,0,,,,,,,,,,,,,,,,,,,
473,What is true about the burden of a tax imposed on popcorn?,Buyers and sellers share the burden of the tax,,,,,,,,,,,,,,,,,,,,,,,,,
474,Which has been an important factor that has discouraged investment in the economic developments of many Latin American nations?,political instability,What has been an important factor that has discouraged investment in the economic developments of many Latin American nations?,1,Has which been an important factor that has discouraged investment in the economic developments of many Latin American nations?,0,What has which been?,0,,,,,,,,,,,,,,,,,,,
475,What effect do neurotransmitters from one neuron have on the next neuron?,They may excite or inhibit it,What may excite or inhibit one neuron?,0,Neurotransmitters may excite or inhibit one neuron?,0,Who may excite or inhibit it?,0,,,,,,,,,,,,,,,,,,,
476,Which is a valid statement about the Soviet Union from the time of the Bolshevik Revolution through 1991?,Demand for consumer goods has exceeded production,What has demand for consumer goods exceeded?,0,What has exceeded production?,0,Has demand for consumer goods exceeded production?,0,,,,,,,,,,,,,,,,,,,
477,feudal societies are generally characterized by,an emphasis on social order,What are generally characterized by an emphasis on social order?,1,What are feudal societies generally characterized by?,1,Are feudal societies generally characterized by an emphasis on social order?,0,,,,,,,,,,,,,,,,,,,
478,the Supreme Court has ruled that government aid to church -related schools,is permitted when the aid is for a non-religious purpose,What has ruled that government aid to church- related schools is permitted when the aid is for a non-religious purpose?,0,What has the Supreme Court ruled for?,0,Has the Supreme Court ruled that government aid to church- related schools is permitted when the aid is for a non-religious purpose?,0,,,,,,,,,,,,,,,,,,,
479,"When economists say that individuals respond to incentives, they mean that","if the benefit of an activity increases, people will engage in more of that activity",Who say that individuals respond to incentives?,,What do economists say that individuals respond to?,,"What do economists mean that if the benefit of an activity increases, people will engage in?",,,,,,,,,,,,,,,,,,,,
480,the most recent wave of immigration since World War II has consisted primarily of,Hispanics and Asians,Who has the most recent wave of immigration since World War II consisted primarily of?,0,What has consisted primarily of Hispanics and Asians?,0,Has the most recent wave of immigration since World War II consisted primarily of Hispanics and Asians?,0,,,,,,,,,,,,,,,,,,,
481,"Between the World Wars, Japanese politics?",were characterized by militarism and assassination,,,,,,,,,,,,,,,,,,,,,,,,,
482,"When Mexico suffered from capital flight in 1994, the U.S. real interest rate",fell and the real exchange rate of the dollar appreciated,When did Mexico suffer from capital flight?,0,What did Mexico suffer from in 1994?,1,What suffered from capital flight in 1994?,0,,,,,,,,,,,,,,,,,,,
483,"a similarity between the ancient western African kingdoms of Mali, Ghana, and Songhai is that these kingdoms",established economies based on trade,"What is a similarity between the ancient western African kingdoms of Mali, Ghana, and Songhai?",1,"What is a similarity between the ancient western African kingdoms of Mali, Ghana, and Songhai that these kingdoms established?",0,What is that these kingdoms established economies based on trade?,0,,,,,,,,,,,,,,,,,,,
484,a lighthouse is typically considered a good example of a public good because,all passing ships are able to enjoy the benefits of the lighthouse without paying,What is typically considered a good example of a public good because all passing ships are able to enjoy the benefits of the lighthouse without paying?,0,What is a lighthouse typically considered a good example of because all passing ships are able to enjoy the benefits of the lighthouse without paying?,1,What is a lighthouse typically considered because all passing ships are able to enjoy the benefits of the lighthouse without paying?,0,,,,,,,,,,,,,,,,,,,
485,"throughout much of history, both China and Japan held a common view that other nations were",barbarians not worthy of their attention,What held a common view that other nations were barbarians not worthy of their attention throughout much of history?,0,What did both China and Japan hold a common view that other nations were barbarians not worthy of their attention throughout?,0,What did both China and Japan hold throughout much of history?,0,,,,,,,,,,,,,,,,,,,
486,"you and a friend play three hours of racquetball. Afterwards, you are most likely to prefer",a slightly salty liquid,How many hours of racquetball do you and a friend play?,0,Who play three hours of racquetball?,0,What do you and a friend play three hours of?,0,,,,,,,,,,,,,,,,,,,
487,"If you suffered sleep deprivation, what type of effect would occur first?",loss of ability to pay attention and perform simple routine tasks,"If you suffered sleep deprivation, what would occur first?",1,"If you suffered sleep deprivation, would what type of effect occur first?",1,,,,,,,,,,,,,,,,,,,,,
488,if the government wanted to stabilize the economy when it was in recession it would,decrease interest rates and increase government expenditures,,,,,,,,,,,,,,,,,,,,,,,,,
489,recent presidential elections have shown,that voters are less interested in ideology or issue positions than in candidate traits such as competence and integrity,What have shown that voters are less interested in ideology or issue positions than in candidate traits such as competence and integrity?,1,What have recent presidential elections shown in?,0,Have recent presidential elections shown that voters are less interested in ideology or issue positions than in candidate traits such as competence and integrity?,0,,,,,,,,,,,,,,,,,,,
490,"in many African nations, a major result of migration from rural to urban areas has been",a weakening of ancestral lines and kinship bonds,What has been a weakening of ancestral lines and kinship bonds in many African nations?,1,What has a major result of migration from rural to urban areas been in many African nations?,0,What has a major result of migration from rural to urban areas been a weakening of in many African nations?,0,,,,,,,,,,,,,,,,,,,
491,the inability to see new uses for familiar objects is termed,functional fixedness,What is the inability to see new uses for familiar objects termed?,1,What is termed functional fixedness?,1,Is the inability to see new uses for familiar objects termed functional fixedness?,0,,,,,,,,,,,,,,,,,,,
492,Which event was used by Mohandas Gandhi to bring world attention to the injustices of British colonialism?,salt march,,,,,,,,,,,,,,,,,,,,,,,,,
493,"When a market experiences a positive consumption externality,",the demand curve does not reflect the value to society of the good,What does not reflect the value to society of the good?,0,What does the demand curve not reflect to society of the good?,0,What does the demand curve not reflect the value to?,0,,,,,,,,,,,,,,,,,,,
494,"Skin senses, kinesthetic senses, and vestibular senses comprise which sense system?",somesthetic sense system,What comprise which sense system?,0,"What do skin senses, kinesthetic senses, and vestibular senses comprise?",1,"Do skin senses, kinesthetic senses, and vestibular senses comprise which sense system?",0,,,,,,,,,,,,,,,,,,,
495,suppose there is a broad increase in the price of stocks which causes an increase in the real wealth of individuals. Consumption spending rises in response to the increase in wealth. This will cause the,rate of unemployment to decrease,What rises in response to the increase in wealth?,0,What does consumption spending rise in?,0,What will cause the rate of unemployment to decrease?,0,,,,,,,,,,,,,,,,,,,
496,the main reason the Chinese Communists gained control of mainland China in 1949 was that,the dynamic leadership of Mao Zedong had the support of the peasant class,What was that the dynamic leadership of Mao Zedong had the support of the peasant class?,0,What was the main reason the Chinese Communists gained control of mainland China in 1949?,1,What was the main reason the Chinese Communists gained control of mainland China in 1949 that the dynamic leadership of Mao Zedong had the support of?,0,,,,,,,,,,,,,,,,,,,
497,"in the case of Plessy v. Ferguson,",the principle of   separate but equal   was used to justify segregation,What was used to justify segregation in the case of Plessy v. Ferguson?,1,What was the principle of separate but equal used to justify segregation in?,1,Was the principle of separate but equal used to justify segregation in the case of Plessy v. Ferguson?,0,,,,,,,,,,,,,,,,,,,
498,The philosophies of Confucius and Mao Zedong both emphasized?,group rather than individual welfare,Did the philosophies of Confucius and Mao Zedong both emphasize?,0,What both emphasized?,0,,,,,,,,,,,,,,,,,,,,,
499,"When President Herbert Hoover and the Republicans were crushed in the election of 1932,voters were responding to the severity of the Great Depression under Hoover's presidency by",retrospective voting,When were voters responding to the severity of the Great Depression by retrospective voting?,0,Whose presidency were voters responding to the severity of the Great Depression under by retrospective voting?,0,Who were responding to the severity of the Great Depression under Hoover's presidency by retrospective voting?,0,,,,,,,,,,,,,,,,,,,
