,Original Ques,Original Answer,PreProcessed Question,PreProcessed Answer,Subjective Question - 1,Subjective Question - 2,Subjective Question - 3,Marker,Label1,Label2,Label3
103,"in order for the Supreme Court to hear oral arguments or decide a case on the written record,",four justices must agree to take the case,"in order for the Supreme Court to hear oral arguments or decide a case on the written record,",four justices must agree to take the case,How many justices must agree to hear a case in order for the Supreme Court to accept it?,How many justices must agree to take a case?,How many justices must agree to hear a case in order for it to be granted a writ of certiorari?,,1,1,0
104,"When bureaucrats are asked to execute orders with which they do not agree,",slippage is likely to occur between policy decisions and performance,"When bureaucrats are asked to execute orders with which they do not agree,",slippage is likely to occur between policy decisions and performance,NOT TO BE CONSIDERED,NOT TO BE CONSIDERED,NOT TO BE CONSIDERED,NOT TO BE CONSIDERED,,,
105,one way to describe the distribution of income in the economy is to,calculate the percentage of families that fall into each of seven income categories,one way to describe the distribution of income in the economy is to,calculate the percentage of families that fall into each of seven income categories,,,,RULE BASED,0,0,0
106,"After World War II, which action was taken by many African territories?",demanding independence from their colonial rulers,"After World War II, which action was taken by many African territories?",demanding independence from their colonial rulers,"After World War II, which action was taken by many African territories?",,,,1,,
107,Private solutions may not always be possible if negotiating and enforcing these solutions involve high,transaction costs,Private solutions may not always be possible if negotiating and enforcing these solutions involve high,transaction costs,NOT TO BE CONSIDERED,NOT TO BE CONSIDERED,NOT TO BE CONSIDERED,NOT TO BE CONSIDERED,,,
108,"information is remembered without explicit cues or stimuli, often verbatim in",recall,"information is remembered without explicit cues or stimuli, often verbatim in",recall,"information is remembered without explicit cues or stimuliWhere is  remembered without explicit cues or stimuli , often verbatim?",,,RULE BASED,1,0,0
109,Many scientist believe that the ?greenhouse effect? is the result of,"using large amounts of gasoline, oil, and coal in developed nations",Many scientist believe that the ?greenhouse effect? is the result of,"using large amounts of gasoline, oil, and coal in developed nations",Many scientist believe that the ?greenhouse effect? is the result of,,,,1,,
110,The fact that we see negative afterimages supports which theory of color vision?,opponent-process,The fact that we see negative afterimages supports which theory of color vision?,opponent-process,The fact that we see negative afterimages supports which theory of color vision?,,,,1,,
111,Probably the best known aspect of Tang art was?,glazed pottery figurines,Probably the best known aspect of Tang art was?,glazed pottery figurines,Probably the best known aspect of Tang art was?,,,,1,,
112,firms in the United States are typically classified as,imperfectly competitive,firms in the United States are typically classified as,imperfectly competitive,What are firms in the United States  typically classified as?,,,RULE BASED,0,0,0
113,the media usually report on America's social problems in a manner that,encourages government to take on more and more tasks,the media usually report on America's social problems in a manner that,encourages government to take on more and more tasks,Does the media encourage government to take on more and more tasks?,,,,1,,
114,"When two countries choose to engage in international trade,",both countries will benefit,"When two countries choose to engage in international trade,",both countries will benefit,"When two countries choose to engage in international trade,",,,,0,,
